language_code,average_pseudo_perplexity
tel_Telu,6.756986988477443
ben_Beng,6.502093547646141
lvs_Latn,4.139624202311958
mlt_Latn,395.1785686958841
amh_Ethi,10.868048470033534
uzn_Latn,8.396334251770757
sun_Latn,57.32007903287273
cym_Latn,9.372251154270119
mar_Deva,10.250113507225604
ckb_Arab,159.38679228402114
mkd_Cyrl,5.192235272986589
kat_Geor,3.8822061358142466
slk_Latn,3.9331231629915964
ell_Grek,2.564192691311375
tha_Thai,7.82898713687317
azj_Latn,7.515129077635856
slv_Latn,4.791055466906978
heb_Hebr,5.739068603822989
ron_Latn,2.968838014301737
dan_Latn,4.290579827006382
urd_Arab,10.173005390887
sin_Sinh,7.038577369900393
yor_Latn,207.2563911828583
swh_Latn,15.678496240404334
uig_Arab,6.868621813095379
bod_Tibt,9.449544688661424
jav_Latn,33.8118529895869
npi_Deva,12.757554199838058
zsm_Latn,10.78853484972035
bul_Cyrl,3.605081162670364
