language_code,average_pseudo_perplexity
tel_Telu,7.917359330967719
ben_Beng,11.974153005367064
lvs_Latn,14.139714488687375
mlt_Latn,531.5893150289888
amh_Ethi,10.063011056991801
uzn_Latn,26.653644737021988
sun_Latn,102.15948899138152
cym_Latn,21.237769887499137
mar_Deva,12.512868881863465
ckb_Arab,72.87072961569937
mkd_Cyrl,11.952851953394491
kat_Geor,6.524684608302126
slk_Latn,11.501357873553744
ell_Grek,4.685779855441241
tha_Thai,4168.094327341812
azj_Latn,12.465936162579318
slv_Latn,13.565501417363452
heb_Hebr,18.356253068000306
ron_Latn,11.492510562573086
dan_Latn,19.156375377841105
urd_Arab,22.59481877987088
sin_Sinh,16.287415506952883
yor_Latn,85.20886166673687
swh_Latn,42.53203511974329
uig_Arab,112.62946668510315
bod_Tibt,4.588683762994825
jav_Latn,83.83969838769825
npi_Deva,12.720424323847638
zsm_Latn,36.262550788999775
bul_Cyrl,10.83668549109179
